City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Muros,ES,42.7762,-9.0603,51.84,80,50,18.81,scattered clouds
294,Kilingi-Nomme,EE,58.1503,24.9642,33.17,74,100,10.11,overcast clouds
295,Pevek,RU,69.7008,170.3133,-19.14,97,19,2.89,few clouds
296,Hervey Bay,AU,-25.2986,152.8535,81.03,76,84,8.77,light rain
297,Pangnirtung,CA,66.1451,-65.7125,21.83,77,100,15.01,overcast clouds
298,Port Blair,IN,11.6667,92.75,82.94,78,59,8.79,heavy intensity rain
299,Aasiaat,GL,68.7098,-52.8699,9.12,95,68,4.25,broken clouds
300,Dicabisagan,PH,17.0818,122.4157,81.01,81,33,9.19,scattered clouds
301,Bardiyah,LY,31.7561,25.0865,63.68,54,54,9.66,broken clouds
302,Valley City,US,46.9233,-98.0032,27.59,80,40,3.44,scattered clouds
303,Baracoa,CU,20.3467,-74.4958,76.05,89,0,4.54,clear sky
304,Alpena,US,45.0617,-83.4327,30.11,84,90,5.01,overcast clouds
305,Tiznit,MA,29.5833,-9.5,57.58,63,7,0.13,clear sky
306,Port Hueneme,US,34.1478,-119.1951,76.12,25,75,4.61,broken clouds
307,Barranco,PA,9.5167,-82.7,75.38,88,99,2.42,overcast clouds
308,Cidreira,BR,-30.1811,-50.2056,70.11,78,0,12.62,clear sky
309,Fortuna,US,40.5982,-124.1573,49.98,71,1,0.0,clear sky
310,Strezhevoy,RU,60.7333,77.5889,22.98,92,100,14.25,light snow
311,Aklavik,CA,68.2191,-135.0107,-17.68,96,100,6.82,overcast clouds
312,Carnarvon,AU,-24.8667,113.6333,78.87,36,0,13.8,clear sky
313,Pacific Grove,US,36.6177,-121.9166,64.62,43,1,3.0,clear sky
314,Ballina,AU,-28.8667,153.5667,78.98,81,26,10.4,scattered clouds
315,Ciudad Bolivar,VE,8.1222,-63.5497,77.76,82,100,8.05,overcast clouds
316,Tilichiki,RU,60.4667,166.1,4.42,86,100,9.66,overcast clouds
317,Tadine,NC,-21.55,167.8833,82.22,65,82,5.06,broken clouds
318,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,40,3.44,scattered clouds
319,Peniche,PT,39.3558,-9.3811,53.56,66,2,17.38,clear sky
320,Kichmengskiy Gorodok,RU,59.9816,45.7854,19.02,89,100,12.82,overcast clouds
321,Mykhaylivka,UA,47.2724,35.2224,39.47,78,100,8.23,overcast clouds
322,Tomatlan,MX,19.9333,-105.25,72.0,91,39,2.04,scattered clouds
323,Iqaluit,CA,63.7506,-68.5145,28.13,74,90,13.0,overcast clouds
324,Lempaala,FI,61.3167,23.75,29.08,93,75,2.3,broken clouds
325,Samarkand,UZ,39.6542,66.9597,47.62,40,56,4.61,broken clouds
326,Brokopondo,SR,4.75,-55.1667,76.8,89,71,7.76,broken clouds
327,San Policarpo,PH,12.1791,125.5072,84.13,71,55,13.71,broken clouds
328,Calawag,PH,10.6697,119.5707,84.45,76,56,11.5,broken clouds
329,Caravelas,BR,-17.7125,-39.2481,69.67,89,99,3.49,overcast clouds
330,Naze,JP,28.3667,129.4833,63.52,64,80,14.18,broken clouds
331,Peace River,CA,56.2501,-117.286,21.51,93,90,19.57,overcast clouds
332,Lagoa,PT,39.05,-27.9833,64.94,85,62,21.05,broken clouds
333,Isoka,ZM,-10.1606,32.6335,64.96,57,42,1.88,scattered clouds
334,Stornoway,GB,58.2093,-6.3865,44.56,94,75,1.99,broken clouds
335,Paamiut,GL,61.994,-49.6678,12.58,79,1,7.96,clear sky
336,Angoche,MZ,-16.2325,39.9086,74.93,89,39,5.99,scattered clouds
337,Ritchie,ZA,-29.038,24.6028,52.81,69,8,14.29,clear sky
338,Houma,US,29.5958,-90.7195,60.8,82,0,10.67,clear sky
339,Sept-Iles,CA,50.2001,-66.3821,38.05,83,100,8.99,overcast clouds
340,La Paz,BO,-16.5,-68.15,51.78,61,75,10.36,broken clouds
341,Nuuk,GL,64.1835,-51.7216,21.81,86,20,5.75,few clouds
342,Mizdah,LY,31.4451,12.9801,56.97,69,0,5.26,clear sky
343,Port Hardy,CA,50.6996,-127.4199,44.6,100,90,3.44,light rain
